EEID,Full Name,First Name,Last Name,Email,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,Access
E02387,Emily Davis,Emily ,Davis,EDavis@scorpius.com,Sr. Manger,IT,Research & Development,Female,Black,55,4/8/2016,141604,0.15,United States,Nashville,10/16/2021,Privileged
E02572,Luna Sanders,Luna ,Sanders,LSanders@scorpius.com,Director,Finance,Speciality Products,Female,Caucasian,50,10/26/2006,163099,0.2,United States,Nashville,,Privileged
E02832,Penelope Jordan,Penelope ,Jordan,PJordan@scorpius.com,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,9/27/2019,84913,0.07,United States,Nashville,,Privileged
E01639,Austin Vo,Austin ,Vo,AVo@scorpius.com,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,11/20/1995,95409,0,United States,Nashville,,Standard
E01550,Ruby Barnes,Ruby ,Barnes,RBarnes@scorpius.com,Manager,IT,Corporate,Female,Caucasian,27,7/1/2020,119746,0.1,United States,Nashville,,Privileged
E04332,Luke Martin,Luke ,Martin,LMartin@scorpius.com,Analyst,Finance,Manufacturing,Male,Black,25,5/16/2020,41336,0,United States,Nashville,5/20/2021,Standard
E04533,Easton Bailey,Easton ,Bailey,EBailey@scorpius.com,Manager,Accounting,Manufacturing,Male,Caucasian,29,1/25/2019,113527,0.06,United States,Nashville,,Privileged
E03838,Madeline Walker,Madeline ,Walker,MWalker@scorpius.com,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,6/13/2018,77203,0,United States,Nashville,,Standard
E00591,Savannah Ali,Savannah ,Ali,SAli@scorpius.com,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,2/11/2009,157333,0.15,United States,Nashville,,Standard
E03344,Camila Rogers,Camila ,Rogers,CRogers@scorpius.com,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,10/21/2021,109851,0,United States,Nashville,,Standard
E00530,Eli Jones,Eli ,Jones,EJones@scorpius.com,Manager,Human Resources,Manufacturing,Male,Caucasian,59,3/14/1999,105086,0.09,United States,Nashville,,Privileged
E03496,Robert Yang,Robert ,Yang,RYang@scorpius.com,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,11/4/2017,97078,0,United States,Nashville,3/9/2020,Standard
E00549,Isabella Xi,Isabella ,Xi,IXi@scorpius.com,Vice President,Marketing,Research & Development,Female,Asian,41,3/13/2013,249270,0.3,United States,Nashville,,Privileged
E00163,Bella Powell,Bella ,Powell,BPowell@scorpius.com,Director,Finance,Research & Development,Female,Black,65,3/4/2002,175837,0.2,United States,Nashville,,Privileged
E00884,Camila Silva,Camila ,Silva,CSilva@scorpius.com,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,12/1/2003,154828,0.13,United States,Nashville,,Standard
E04116,David Barnes,David ,Barnes,DBarnes@scorpius.com,Director,IT,Corporate,Male,Caucasian,64,11/3/2013,186503,0.24,United States,Nashville,,Privileged
E04732,Eva Rivera,Eva ,Rivera,ERivera@scorpius.com,Director,Sales,Manufacturing,Female,Latino,36,4/2/2021,151703,0.21,United States,Nashville,,Privileged
E00671,Leonardo Dixon,Leonardo ,Dixon,LDixon@scorpius.com,Analyst,Sales,Speciality Products,Male,Caucasian,37,9/5/2019,49998,0,United States,Nashville,,Standard
E02206,Jose Henderson,Jose ,Henderson,JHenderson@scorpius.com,Director,Human Resources,Speciality Products,Male,Black,41,4/17/2015,152239,0.23,United States,Nashville,,Privileged
E00154,Wyatt Chin,Wyatt ,Chin,WChin@scorpius.com,Vice President,Engineering,Speciality Products,Male,Asian,43,6/7/2004,246231,0.31,United States,Nashville,,Privileged
E02594,Ezekiel Kumar,Ezekiel ,Kumar,EKumar@scorpius.com,IT Coordinator,IT,Research & Development,Male,Asian,28,6/25/2017,54775,0,United States,Nashville,,Privileged
E01994,Angel Powell,Angel ,Powell,APowell@scorpius.com,Analyst II,Sales,Research & Development,Male,Caucasian,61,7/11/2008,66521,0,United States,Nashville,,Standard
